,id,Id. Piquete,Piquete,Área,Cultivar,Módulo,Produção planejada,Tx. Ac mês,Estoque,Oferta mês,GM,Nome GM,Tipo,Dias,Ordem,Piq. atual,Último pastejo,Dias Ciclo,Centro,Cod. Fazenda,Fazenda,Dias descanso,Meta fazenda,Meta GM,geometry,lat,lon,,,,,,,,,
0,1,10117M10P1,M10P1,14.20,Piatã,10,101 | 10t | 2022,7.53,"1,911.19","10,497.18",59,"Lote 144,140, outros",Oferta,4,3,0,1969-12-31 21:00:45,9.65,"-20.147737, -53.277069",101,Santa Helena,8.00,"1,017.68","1,556.66",POINT (-53.277069 -20.147737),-20.15,-53.28,,
1,2,10117M10P10,M10P10,6.30,Piatã,10,101 | 10t | 2022,7.53,"3,016.44","6,882.69",62,Lote 150,Oferta,4,5,0,1969-12-31 21:00:45,6.54,"-20.151359, -53.266881",101,Santa Helena,3.00,"1,602.58","1,780.06",POINT (-53.266881 -20.151359),-20.15,-53.27,,,,
2,3,10117M10P11,M10P11,4.90,Piatã,10,101 | 10t | 2022,7.53,"2,026.93","3,803.53",62,Lote 150,Oferta,2,3,0,1969-12-31 21:00:45,9.63,"-20.153713, -53.264712",101,Santa Helena,7.00,"1,068.54","1,231.22",POINT (-53.264712 -20.153713),-20.15,-53.26,,,,
3,4,10117M10P12,M10P12,6.80,Piatã,10,101 | 10t | 2022,7.53,"2,756.11","6,863.13",62,Lote 150,Oferta,4,6,1,1969-12-31 21:00:45,2.62,"-20.152862, -53.267769",101,Santa Helena,-1.00,"1,458.48","1,505.64",POINT (-53.267769 -20.152862),-20.15,-53.27,,,,
4,5,10117M10P13,M10P13,12.90,Piatã,10,101 | 10t | 2022,7.53,"2,001.64","9,909.08",62,Lote 150,Oferta,6,2,0,1969-12-31 21:00:45,12.62,"-20.151004, -53.271106",101,Santa Helena,10.00,"1,043.11","1,094.01",POINT (-53.271106 -20.151004),-20.15,-53.27,,,,
5,6,10117M10P14,M10P14,14.50,Piatã,10,101 | 10t | 2022,7.53,"2,073.17","11,469.65",62,Lote 150,Oferta,7,4,0,1969-12-31 21:00:45,11.38,"-20.149085, -53.274267",101,Santa Helena,6.00,"1,093.97","1,368.43",POINT (-53.274267 -20.149085),-20.15,-53.27,,,,
6,7,10117M10P2,M10P2,13.90,Piatã,10,101 | 10t | 2022,7.53,"2,786.89","14,165.80",59,"Lote 144,140, outros",Oferta,5,5,1,1969-12-31 21:00:45,-0.40,"-20.146641, -53.279734",101,Santa Helena,-2.00,"1,483.91","2,679.12",POINT (-53.279734 -20.146641),-20.15,-53.28,,
7,8,10117M10P3,M10P3,14.50,Piatã,10,101 | 10t | 2022,7.53,"2,083.56","11,517.80",64,"Lote 170,151, outros",Oferta,4,2,0,1969-12-31 21:00:45,33.55,"-20.144757, -53.282120",101,Santa Helena,32.00,"1,110.92","1,149.27",POINT (-53.28212 -20.144757),-20.14,-53.28,,
8,9,10117M10P4,M10P4,12.50,Piatã,10,101 | 10t | 2022,7.53,"1,603.82","8,012.50",59,"Lote 144,140, outros",Oferta,3,2,0,1969-12-31 21:00:45,17.60,"-20.145385, -53.285099",101,Santa Helena,15.00,932.91,"1,182.51",POINT (-53.285099 -20.145385),-20.15,-53.29,,,
9,10,10117M10P5,M10P5,14.10,Zuri,10,101 | 10t | 2022,7.53,"2,081.16","11,189.25",59,"Lote 144,140, outros",Oferta,4,1,0,1969-12-31 21:00:45,31.64,"-20.141943, -53.279495",101,Santa Helena,21.00,"1,102.45","1,930.82",POINT (-53.279495 -20.141943),-20.14,-53.28,,
10,11,10117M10P6,M10P6,13,Zuri,10,101 | 10t | 2022,7.53,"2,081.16","10,316.33",59,"Lote 144,140, outros",Pulmão,4,Pulmão,0,00:00:00,"44,887.00","-20.142340, -53.277039",101,Santa Helena,"44,887.00","1,102.45","1,930.82",POINT (-53.277039 -20.14234),-20.14,-53.28
11,12,10117M10P7,M10P7,13.70,Zuri,10,101 | 10t | 2022,7.53,"2,081.16","10,871.82",59,"Lote 144,140, outros",Pulmão,4,Pulmão,0,00:00:00,"44,887.00","-20.143687, -53.275104",101,Santa Helena,"44,887.00","1,102.45","1,930.82",POINT (-53.275104 -20.143687),-20.14,-53.28
12,13,10117M10P8,M10P8,13.90,Piatã,10,101 | 10t | 2022,7.53,"2,255.97","11,807.12",59,"Lote 144,140, outros",Oferta,4,4,0,1969-12-31 21:00:45,7.45,"-20.145771, -53.272594",101,Santa Helena,3.00,"1,178.74","2,304.97",POINT (-53.272594 -20.145771),-20.15,-53.27,,
13,14,10117M10P9,M10P9,12.80,Piatã,10,101 | 10t | 2022,7.53,"1,873.59","9,308.43",62,Lote 150,Oferta,6,1,0,1969-12-31 21:00:45,22.64,"-20.148675, -53.269683",101,Santa Helena,19.00,992.25,956.80,POINT (-53.269683 -20.148675),-20.15,-53.27,,,,,,
14,15,10117M11P1,M11P1,20.88,Piatã,11,101 | 10t | 2022,7.53,"1,885.76","15,267.80",60,"Lote 148,145, outros",Oferta,5,4,0,1969-12-31 21:00:45,15.68,"-20.157115, -53.297567",101,Santa Helena,10.00,"1,000.72",607.80,POINT (-53.297567 -20.157115),-20.16,-53.30,,,
